method,50_ok,50_fail,100_ok,100_fail,200_ok,200_fail,500_ok,500_fail,1000_ok,1000_fail,sessions_detected,notes
dpkt-http,50,0,100,0,200,0,500,0,1000,0,1019,
ebpf-http-session,50,0,100,0,200,0,500,0,1000,0,1013,
libpcap-http,45,5,87,13,137,63,138,362,138,862,1325,
netsniff-http,50,0,100,0,200,0,500,0,1000,0,1217,
pypcap-http,49,1,99,1,197,3,497,3,997,3,1327,
rawsocket-http,50,0,100,0,200,0,500,0,1000,0,1334,
rawsocket-http-tpacketv3,50,0,100,0,200,0,500,0,1000,0,1065,
scapy-http,1,49,1,99,1,199,7,493,17,983,1431,
suricata-http,43,7,93,7,193,7,493,7,993,7,1245,
tcpdump-http,50,0,100,0,200,0,500,0,946,0,946,
tshark-http,50,0,100,0,200,0,500,0,1000,0,1000,
zeek-http,0,0,0,0,0,0,0,0,0,0,0,zeek binary not found
