pps,scapy-sctp,tcpdump-sctp,libpcap-sctp,pypcap-sctp,rawsocket-sctp,ebpf-sctp,dpkt-sctp,tshark-sctp,zeek-sctp,suricata-sctp,netsniff-sctp
1000,77.91,98.45,100.00,100.00,100.00,100.00,98.45,100.00,0.00,0.05,100.00
2000,70.98,98.48,100.00,100.00,100.00,100.00,99.78,100.00,0.00,0.02,100.00
3000,75.57,98.48,100.00,100.00,100.00,100.00,98.48,100.00,0.00,0.02,100.00
4000,74.15,95.36,100.00,100.00,100.00,100.00,98.49,100.00,0.00,0.01,100.00
5000,76.50,98.49,100.00,100.00,100.00,100.00,98.49,100.00,0.00,0.01,100.00
6000,75.80,98.49,100.00,100.00,100.00,100.00,98.49,100.00,0.00,0.01,100.00
7000,70.27,99.54,100.00,100.00,100.00,100.00,98.49,100.00,0.00,0.01,100.00
8000,60.93,98.89,100.00,100.00,100.00,100.00,98.49,100.00,0.00,0.01,100.00
9000,58.44,98.49,100.00,100.00,100.00,100.00,98.88,100.00,0.00,0.01,100.00
10000,44.21,98.50,100.00,100.00,100.00,100.00,98.50,100.00,0.00,0.00,100.00
11000,42.69,99.44,100.00,100.00,100.00,100.00,98.50,100.00,0.00,0.00,100.00
12000,40.11,98.50,100.00,100.00,99.95,100.00,98.50,100.00,0.00,0.00,100.00
13000,39.49,98.50,100.00,100.00,99.94,100.00,98.50,100.00,0.00,0.00,100.00
14000,35.13,99.90,100.00,100.00,100.00,100.00,99.20,100.00,0.00,0.00,100.00
15000,30.15,99.81,100.00,100.00,100.00,100.00,99.81,100.00,0.00,0.00,100.00
16000,29.15,99.73,100.00,100.00,100.00,100.00,99.73,100.00,0.00,0.00,100.00
17000,27.11,99.66,100.00,100.00,99.78,100.00,99.66,100.00,0.00,0.00,100.00
18000,26.60,99.59,100.00,100.00,100.00,100.00,99.59,100.00,0.00,0.00,100.00
19000,26.63,99.53,100.00,100.00,99.79,100.00,99.53,100.00,0.00,0.00,100.00
20000,24.74,99.48,100.00,100.00,100.00,100.00,99.48,100.00,0.00,0.00,100.00
21000,23.67,99.44,100.00,100.00,100.00,100.00,99.44,100.00,0.00,0.00,100.00
22000,21.98,99.39,100.00,100.00,100.00,100.00,99.39,100.00,0.00,0.00,100.00
23000,19.18,99.35,100.00,100.00,100.00,100.00,99.35,100.00,0.00,0.00,100.00
24000,24.46,99.32,100.00,100.00,99.42,100.00,99.32,100.00,0.00,0.00,100.00
25000,21.36,99.98,100.00,100.00,99.68,100.00,99.29,100.00,0.00,0.00,100.00
26000,18.90,99.26,100.00,100.00,100.00,100.00,99.26,100.00,0.00,0.00,100.00
27000,18.22,99.96,100.00,100.00,99.49,100.00,99.96,100.00,0.00,0.00,100.00
28000,15.77,99.91,100.00,100.00,99.39,100.00,99.69,100.00,0.00,0.00,100.00
29000,17.57,99.86,100.00,100.00,99.74,100.00,99.86,100.00,0.00,0.00,100.00
30000,13.98,99.81,100.00,100.00,99.33,100.00,99.81,100.00,0.00,0.00,100.00
